epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,7402.93,0.58103,0.39489,0.90704,0.99636,1,0.995,0.85853,0.58732,0.38213,0.90565,0.000379743,0.000379743,0.000379743
80,7485.54,0.56011,0.37245,0.8786,0.99597,1,0.995,0.85327,0.61327,0.37246,0.90588,0.000363239,0.000363239,0.000363239
81,7570.21,0.57037,0.39186,0.88985,0.99619,1,0.995,0.8648,0.61266,0.35989,0.90332,0.000346736,0.000346736,0.000346736
82,7655.4,0.51457,0.3568,0.87059,0.99653,1,0.995,0.88941,0.55165,0.35108,0.8879,0.000330233,0.000330233,0.000330233
83,7738.47,0.54426,0.3639,0.87852,0.99574,1,0.995,0.88528,0.55311,0.34899,0.89636,0.000313729,0.000313729,0.000313729
84,7822.28,0.57965,0.41787,0.91603,0.9958,1,0.995,0.87769,0.56643,0.36154,0.89868,0.000297226,0.000297226,0.000297226
85,7907.13,0.58681,0.39263,0.89912,0.99568,1,0.995,0.89415,0.54074,0.36342,0.89253,0.000280723,0.000280723,0.000280723
86,7991.43,0.53933,0.36974,0.87692,0.99495,1,0.995,0.87671,0.55689,0.35309,0.89757,0.00026422,0.00026422,0.00026422
87,8074.61,0.52633,0.36231,0.87866,0.99548,1,0.995,0.86244,0.58653,0.35879,0.90913,0.000247716,0.000247716,0.000247716
88,8157.98,0.53825,0.37825,0.89902,0.9956,1,0.995,0.86071,0.60595,0.3562,0.92917,0.000231213,0.000231213,0.000231213
89,8242.63,0.50241,0.35374,0.86876,0.99543,1,0.995,0.86318,0.57606,0.35181,0.91701,0.00021471,0.00021471,0.00021471
90,8326.4,0.51252,0.34802,0.88191,0.99506,1,0.995,0.88053,0.5677,0.34696,0.92423,0.000198206,0.000198206,0.000198206
91,8409.54,0.43638,0.31107,0.81815,0.99501,1,0.995,0.88138,0.5654,0.34179,0.92021,0.000181703,0.000181703,0.000181703
92,8493.93,0.43371,0.31214,0.83187,0.99501,1,0.995,0.87971,0.55268,0.33676,0.92125,0.0001652,0.0001652,0.0001652
93,8577.77,0.44848,0.31281,0.83411,0.99516,1,0.995,0.87806,0.55944,0.33168,0.92914,0.000148696,0.000148696,0.000148696
94,8679.11,0.40347,0.28665,0.82628,0.99485,1,0.995,0.87708,0.57791,0.32856,0.93945,0.000132193,0.000132193,0.000132193
95,8789.06,0.40628,0.29548,0.82778,0.99495,1,0.995,0.87804,0.57352,0.33614,0.93563,0.00011569,0.00011569,0.00011569
96,8887.93,0.40003,0.2843,0.81085,0.99526,1,0.995,0.88185,0.56749,0.3335,0.92198,9.91865e-05,9.91865e-05,9.91865e-05
97,8986.81,0.39243,0.28968,0.81516,0.99533,1,0.995,0.88349,0.56392,0.34162,0.90609,8.26832e-05,8.26832e-05,8.26832e-05
98,9082.41,0.39633,0.28508,0.82203,0.99534,1,0.995,0.88906,0.55448,0.3494,0.89856,6.61799e-05,6.61799e-05,6.61799e-05
99,9189.44,0.38607,0.27762,0.80956,0.99541,1,0.995,0.88067,0.54706,0.34982,0.89344,4.96766e-05,4.96766e-05,4.96766e-05
100,9289.58,0.38243,0.28275,0.80683,0.99548,1,0.995,0.88137,0.54326,0.34506,0.89126,3.31733e-05,3.31733e-05,3.31733e-05
